Order,ID,Archive_ID,Title,URL,Snippet,Phrase,HasPhrase,SpeakerVisible,HandsVisible,HandsVisibleGenerous,HandsFree,HandsFreeGenerous,Aspect,Agent,Animacy,Negated,Contrasted,SpeakerName,Duplicate,NonNative,HandsMoving,NounPlural,ContextMove,WhichHand,HandConfig,PalmOrientation,MovementVertical,MovementHorizontal,MovementSagittal,Duration,StrokeDuration,OfInterest,Comments
1,31,WTMJ_20160908_210000_Todays_TMJ4_News_Live_at_400,"Today's TMJ4 News Live at 4:00 : WTMJ : September 8, 2016 4:00pm-4:30pm CDT",https://archive.org/download/WTMJ_20160908_210000_Todays_TMJ4_News_Live_at_400/WTMJ_20160908_210000_Todays_TMJ4_News_Live_at_400.mp4?t=334/394?ignore=x.mp4," wacky ideas"" uninformed??? with civilians dying in syria's biggest city, a low standard was set todayby the #3 polling presidential candidate, libertarian gary johnson sot: gary johnson / libertarian presidential candidate ""what would you do, if you were elected, about aleppo. about aleppo. and what trump says he'd work with putin to end the syrian war and take out isis(insert ends) (two second pause)audio outcue: i'm steve handelsman, nbc news, washington. on the e-mail issue today, former secretary of state republican colin powell says he used a ?private? account, assuming any official e-mails would be caught and saved by the state department system ... which is what hillary clinton has been saying. children rescued from a flooding kinder care in west allis. george mallet is in the newsroom with a story new thanks steve and shannon all the children made it out safe thanks to the rapid deployment of the fire deparment. tonight. the head of the daycare talks about the roller coaster of emotions during those tense moments.that's coming up on live at 5... are you ready for some football? ",low_standards,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,782,CSPAN_20100728_060000_Today_in_Washington,"Today in Washington : CSPAN : July 28, 2010 2:00am-6:00am EDT",https://archive.org/download/CSPAN_20100728_060000_Today_in_Washington/CSPAN_20100728_060000_Today_in_Washington.mp4?t=9468/9528?ignore=x.mp4," only way to make good on the american promise of equality. and the truth is that states with low standards have been lying to children's families for years, telling them they're ready for college or work when they're not cle. many who attend college need remediation and half drop out. overall, just 40% of young people eastern a two-year or four-year degree. the u.s. ranks ten, we were first a generation ago and we want to be first again. that's why we ended federal subsidies for banks and student lending programs and shifted billions and billions of dollars into increasing pell grants without going back to taxpayers for a dime. that's why we fix the student financial aid application. it was so complicated a lot of students simply gave up and that's one more barrier to access that we have eliminated. we're competing with students from around the world and the truth is unfortunately we're continuing to slip further behind. among developed nations, our eighth graders trail students in ten countries in science, and our 15-year-olds are in the bottom quartile in math. our first respon",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,347,FOXNEWSW_20130705_220000_Special_Report_With_Bret_Baier,"Special Report With Bret Baier : FOXNEWSW : July 5, 2013 3:00pm-4:01pm PDT",https://archive.org/download/FOXNEWSW_20130705_220000_Special_Report_With_Bret_Baier/FOXNEWSW_20130705_220000_Special_Report_With_Bret_Baier.mp4?t=3022/3082?ignore=x.mp4," least get the fbi to start investigating it at all. and it seems to be a low standard. whether it turns out to be scandal i think it is and if you don't think it is it's one thing. doesn't sound like they're even trying to figure that out. >> charles at least for appearances sake you would think that it would be good for the administration to look at the fbi, that an agency is on it? >> if you had a press, and had any backbone. but in the absence of that, outside of -- >> present company excepted, of course. >> outside of fox there's nothing the administration has to worry about. you mount an investigation, you then deflect any question, by saying, i can't talk about it, because it's being investigated, you do nothing about it, and then you wait, you let other news and scandals overtake it, like explosions in egypt, and then you count on the press to say nothing, and then it dies in time. and that's the strategy on benghazi, on the rosen affair and on this. that's how they do it, their m.o. >> all right today we're also going to talk about jobs numbers that came out today. unemployment ",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,768,CSPAN_20100522_180000_C-SPAN_Weekend,"C-SPAN Weekend : CSPAN : May 22, 2010 2:00pm-6:15pm EDT",https://archive.org/download/CSPAN_20100522_180000_C-SPAN_Weekend/CSPAN_20100522_180000_C-SPAN_Weekend.mp4?t=11957/12017?ignore=x.mp4,". it is going to be a relatively low standard -- relevance and speciffc facts -- but we want you to show approval. so, where have e ggne nd where i swear theee proposals -- they they are at some level simple. and we have briefed them to the+ world. we have discusssd them with six entities ithhn the ddpartment of justice, inccuding the national seeurity division, computer crime seetion, the fbi, the office f legislative affairs, the officeeof legal policy. we have briefed them to he feddeaa trade commission, toothe pepartment of commerce, to the white houue. we are breathing lawyers from week. phere arr o secrets here. we want to get people's reaction.3 connerns might be. we want to be aall to respond to themm there ere sooe hearings ii the house, to the credit of the chairman. he said that this is the kick pff and we're going to have more senator leahy has inddcaaed he would like to hold hearings this year in the senate. session of congress, where we get a channe to ttlk about it witt law-enforcement. and void unintendedight and we- -pconsequences. thank you very much. >> thankk, gr",low_standards,yes,yes,neither,both,both,both,NA,NA,NA,no,no,greg nojeim,no,no,yes,no,NA,R,open,down,down,NA,front,NA,NA,NA,NA
5,711,KNTV_20140326_140000_Today,"Today : KNTV : March 26, 2014 7:00am-11:01am PDT",https://archive.org/download/KNTV_20140326_140000_Today/KNTV_20140326_140000_Today.mp4?t=5020/5080?ignore=x.mp4," standards being set, some school districts may choose to have low standards. how do we find a balance, michelle? >> well, that's absolutely right. i mean, at the same time this teacher is resigning in massachusetts, last week there was a study that came out in massachusetts that said that two-thirds of employers in that state were saying that they can't find people, employees, who have the skills and knowledge necessary to fill their jobs. we know there's a huge disconnect that exists. >> are they going to get those skills and knowledge from standardized testing? >> no, but we can use standardized testing to measure whether or not kids are actually learning what they need to learn, right? while recent international test results show that the u.s. is now 26th out of 30 something nations in math. and the bottom line, the kids today who are in school today in america are going to be competing for jobs against the kids in india and china, not against the kids in the state next door. so we really do have to make sure that our kids can compete in the global marketplace. >> all right, michel",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,512,CNN_20121108_170000_CNN_Newsroom,"CNN Newsroom : CNN : November 8, 2012 12:00pm-2:00pm EST",https://archive.org/download/CNN_20121108_170000_CNN_Newsroom/CNN_20121108_170000_CNN_Newsroom.mp4?t=1875/1935?ignore=x.mp4," pretty low standard. he didn't even meet that standard in the early part of the case because he was found incompetent and he was sent to essentially a psychiatric facility. he was forcibly medicine indicated with psychotropic medications, and that brought him to the level where the judge said he is competent to stand trial and when that decision was made, he entered this guilty plea, but what would happen today if he had a mental breakdown and prove to be incompetent? well, he couldn't be sentenced. everything would be called off. he would be sent back to a psychiatric facility, and he would remain there until he became competent once again. now, that can happen in a month, a week. there are some cases where it takes years for somebody to be restored to competence. it's an iffy proposition sometimes. owner system is quite unique. gabby giffords, a remarkable woman who has been through such a traumatic experience and now she is such a fighter. she's in the same room with that man who literally put a gun to her head and pulled the trigger. do you think that this is an appropriate cathartic ",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,775,CSPAN_20171227_120000_Washington_Journal,"Washington Journal : CSPAN : December 27, 2017 7:00am-10:02am EST",https://archive.org/download/CSPAN_20171227_120000_Washington_Journal/CSPAN_20171227_120000_Washington_Journal.mp4?t=6177/6237?ignore=x.mp4," is probable cause that a person committed a crime. that's a very low standard. what the prosecutor presents all evidence they want to present, it's so easy to come with an indictment. why is it in all those cases where police officers killed these individuals, and the very few cases that were presented to a grand jury, they did not indict? it started with ferguson and michael brown. that grand jury did not indict. why? the prosecutor was in charge of it and did not want an indictment. if you look of the transcripts of the jury, very rarely is it released, but he released it. it was very clear he was on the side of that police officer. that is why there is a call in cases where police officers are charged or alleged to have killed a citizen or an individual, they have called for prosecutors to step aside and allow an independent person to come in and present the case to the grand jury. prosecutors worked very closely with police officers. it certainly does not appear theythey can be fair if are tasked with investigating the very officers that they work with every day and rely on to ",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,494,CSPAN2_20161220_195900_Public_Affairs_Events,"Public Affairs Events : CSPAN2 : December 20, 2016 2:59pm-5:00pm EST",https://archive.org/download/CSPAN2_20161220_195900_Public_Affairs_Events/CSPAN2_20161220_195900_Public_Affairs_Events.mp4?t=2933/2993?ignore=x.mp4," off and sold and attrition rates. but i have perhaps a very low standard for what i'm hoping for from the a and psf. to paraphrase lawrence of arabia in 1918 when he was leading the arab revolt against the ottoman empire, it's better they do it tolerably and we do it perfectly. it is their nation, their fight and we are there to help them. we are not there to win it for them. that's sort of my benchmark when i look at the capabilities. yes, it's not a perfect army but it could be a hell of a lot worse and there are ways we could should improve it and we should work on those. they have taken huge casualties as senator demint mentioned in his opening remarks and it is in our interests, nato's interests, afghanistan's interests, the region's interests that this force is available to take the fight to the insurgency and this is where the funding gets so important and it's also where it gets controversial. afghanistan is unable to pay solely for the funding for this security force. some estimates say by 2024, he will be able to start paying for its own security forces but they do need help",low_standards,yes,yes,neither,both,neither,neither,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,266,MSNBCW_20140919_080000_The_Rachel_Maddow_Show,"The Rachel Maddow Show : MSNBCW : September 19, 2014 1:00am-2:01am PDT",https://archive.org/download/MSNBCW_20140919_080000_The_Rachel_Maddow_Show/MSNBCW_20140919_080000_The_Rachel_Maddow_Show.mp4?t=3597/3657?ignore=x.mp4," of the united states. but a decision like this today? stretches bounds of even the low standards of decency that they have sunk to already. amazing. ""first look"" is up next. >>> and a good friday morning to you. right now on ""first look,"" breaking overnight. scotland voting no and the kingdom remaining united. scare in mid-air as a jet blew engine, filling the cabin with smoke before an emergency landing. the fib fbi's list add a man that murdered a pennsylvania trooper. >>> breaking news overnight to tell you about. scotland rejects independence and remains part of the united kingdom. tears and cheers of joy. no supporters here. the point won by 10 percentage points in what was supposed to be a close vote. alex salmon, pushed for",low_standards,yes,yes,neither,one,one,one,NA,NA,NA,no,no,rachel maddow,no,no,yes,NA,NA,R,closed,NA,NA,NA,front,NA,NA,NA,NA
10,276,FOXNEWSW_20160802_160000_Outnumbered,"Outnumbered : FOXNEWSW : August 2, 2016 9:00am-10:01am PDT",https://archive.org/download/FOXNEWSW_20160802_160000_Outnumbered/FOXNEWSW_20160802_160000_Outnumbered.mp4?t=688/748?ignore=x.mp4," trafficking or anti-corruption measures. so you get a low standard, lowest common denominator trade deal, and if america isn't creating standards, china's rules will govern in a vast part of the world. that is bad for us economically and also bad for security interests. its bad for interests promoting norms against child labor or human trafficking or making sure everybody is working harder to raise conservation standards. that is the alternative. that's the option. so i think it is very important to get this done in terms of assurances. nothing in life is certain but we've got a pretty good track record getting stuff done when i think it is important. and i will say this. that, that you know, this is actually not just an obama administration initiative. this concept began in a republican administration. we pushed it through. we made it happen. we made sure that things that i care about, in terms of labor and environmental standards were incorporated into it but historically this has had strong bipartisan support. so, the bottom line is, we'll go out there and we'll make those arcmen",low_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
